"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"100457-1010150","","Сигнальный проезд, 37","","55.848929","37.594487","","","0","","","0","",""
"100457-1010104","","Хамовнический Вал","","55.718938","37.56778","","","0","","","0","",""
"100457-1010157","","Центральный парк","","55.698359","37.35461","","","0","","","0","",""
"100457-1010158","","Центральный парк","","55.69797","37.354675","","","0","","","0","",""
"100457-1010171","","Отрадная улица, 1","","55.859526","37.603064","","","0","","","0","",""
"100457-3997","","Гаражная улица","","55.759443","37.738231","","","0","","","0","",""
"100457-1010185","","Метро «Ломоносовский проспект»","","55.705779","37.515105","","","0","","","0","",""
"100457-1009107","","МЦД Андроновка","","55.744652","37.737317","","","0","","","0","",""
"100457-1010191","","Метро «Коломенская»","","55.677099","37.662353","","","0","","","0","",""
"100457-1010193","","Институт высоких температур","","55.893558","37.520823","","","0","","","0","",""
"100457-1009108","","МЦД Андроновка","","55.744465","37.737633","","","0","","","0","",""
"100457-1010194","","Институт высоких температур","","55.89363","37.521745","","","0","","","0","",""
"100457-1010115","","Производственная улица","","55.641461","37.383245","","","0","","","0","",""
"100457-1010192","","Базовская улица, 17","","55.879903","37.511546","","","0","","","0","",""
"100457-1010114","","Производственная улица","","55.641169","37.383601","","","0","","","0","",""
"100457-1010119","","Станционная улица","","55.847359","37.583158","","","0","","","0","",""
"100457-1010121","","Гостиничная улица","","55.847547","37.578777","","","0","","","0","",""
"100457-1010216","","Проектируемый проезд № 4062","","55.68818","37.669884","","","0","","","0","",""
"100457-1010217","","Проектируемый проезд № 4062","","55.688884","37.672255","","","0","","","0","",""
"100457-1010221","","Рябиновая улица","","55.687692","37.431046","","","0","","","0","",""
"100457-1010351","","Цариков переулок","","55.840265","37.375611","","","0","","","0","",""
"100457-1010227","","Хлебобулочный проезд","","55.661171","37.558302","","","0","","","0","",""
"100457-1010352","","Улица Петра Непорожнего","","55.634809","37.417131","","","0","","","0","",""
"100457-1010239","","Река Стрелка","","55.522306","37.469512","","","0","","","0","",""
"100457-1010241","","Река Стрелка","","55.522569","37.470131","","","0","","","0","",""
"100457-1010353","","Улица Петра Непорожнего","","55.635513","37.416372","","","0","","","0","",""
"100457-1010354","","Индустриальный колледж","","55.639551","37.411575","","","0","","","0","",""
"100457-1010245","","Бархатная Роща","","55.51808","37.451718","","","0","","","0","",""
"100457-1010355","","Индустриальный колледж","","55.639012","37.412539","","","0","","","0","",""
"100457-1010242","","Поворот на Расторопово","","55.516153","37.454049","","","0","","","0","",""
"100457-1010243","","Поворот на Расторопово","","55.515659","37.45448","","","0","","","0","",""
"100457-1010376","","Гурьевский проезд","","55.599656","37.742677","","","0","","","0","",""
"100457-1010246","","Филиал Троицкой больницы","","55.522202","37.45621","","","0","","","0","",""
"100457-1010377","","Гурьевский проезд","","55.599867","37.743563","","","0","","","0","",""
"100457-1010247","","Метро «Боровское шоссе»","","55.647227","37.368216","","","0","","","0","",""
"100457-1010383","","МЦД Печатники","","55.693822","37.729435","","","0","","","0","",""
"100457-1010384","","МЦД Печатники","","55.693597","37.729687","","","0","","","0","",""
"100457-13825","","Северная","","56.014228","37.18965","","","0","","","0","",""
"100457-1010484","","Давыдково","","55.726926","37.466744","","","0","","","0","",""
"100457-1010485","","Гурьевский проезд, 11","","55.602392","37.746647","","","0","","","0","",""
"100457-1010262","","Детская библиотека","","55.657182","37.761071","","","0","","","0","",""
"100457-1010455","","6-я улица Лазенки, 30","","55.657643","37.358207","","","0","","","0","",""
"100457-1010293","","Нововладыкинский проезд","","55.850443","37.582647","","","0","","","0","",""
"100457-1010456","","МЦД Внуково","","55.648406","37.271445","","","0","","","0","",""
"100457-1010294","","Нововладыкинский проезд","","55.850305","37.58207","","","0","","","0","",""
