"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order","continuous_pickup","continuous_drop_off"
"100457-619","100457-1","600","Метро «Тёплый Стан» - Метро «Саларьево»","","3","","","","","",""
"100457-732","100457-1","133","Метро «Щёлковская» - Метро «Щёлковская»","","3","","","","","",""
"100457-747","100457-1","20","Ивановское - Метро «Партизанская»","","3","","","","","",""
"100457-767","100457-1","237","МЦД Новогиреево - МЦД Новогиреево","","3","","","","","",""
"100457-953","100457-1","З-22","МЦД Зеленоград-Крюково - 17-й микрорайон","","3","","","","","",""
"100457-1652","100457-1","629","Усадьба Клёново - Свитинские сады","","3","","","","","",""
"100457-1765","100457-1","З-32к","Северная - Середниковская улица","","3","","","","","",""
"100457-112","100457-1","137","Метро «Щукинская» - Троице-Лыково","","3","","","","","",""
"100457-716","100457-1","851","Метро «Речной вокзал» - Аэропорт Шереметьево - Терминал B","","3","","","","","",""
"100457-154","100457-1","638","Метро «Щукинская» - Мякинино","","3","","","","","",""
"100457-713","100457-1","З-10","17-й микрорайон - Городская больница","","3","","","","","",""
"100457-847","100457-1","З-2","МЦД Зеленоград-Крюково - СТО Ваз","","3","","","","","",""
"100457-125","100457-1","832","Крылатское - Спортцентр «Крылатское»","","3","","","","","",""
"100457-946","100457-1","170","Метро «Верхние Лихоборы» - МЦД Бескудниково","","3","","","","","",""
"100457-571","100457-1","257","Уссурийская улица - Южное Измайлово","","3","","","","","",""
"100457-357","100457-1","616","Метро «Новые Черёмушки» - Метро «Новые Черёмушки»","","3","","","","","",""
"100457-459","100457-1","843","Северный - 1-й микрорайон - Пос. Северный","","3","","","","","",""
"100457-864","100457-1","791","Киевский вокзал - Киевский вокзал","","3","","","","","",""
"100457-717","100457-1","116","Парк «Фили» - Белорусский вокзал","","3","","","","","",""
"100457-1576","100457-1","627к","Камчатская улица - МФЦ «Гольяново»","","3","","","","","",""
"100457-562","100457-1","165","Остафьевская улица - Метро «Ясенево»","","3","","","","","",""
"100457-598","100457-1","213","Остафьевская улица - Остафьевская улица","","3","","","","","",""
"100457-279","100457-1","855","9-й микрорайон Кожухова - 17-й квартал Люберецких полей","","3","","","","","",""
"100457-1818","100457-1","т19","Крылатское - Метро «Сокол»","","3","","","","","",""
"100457-307","100457-1","697","Метро «Выхино» - Метро «Выхино»","","3","","","","","",""
"100457-142","100457-1","30","Метро «Братиславская» - Метро «Братиславская»","","3","","","","","",""
"100457-447","100457-1","630","Тропарёво - МЦД Очаково","","3","","","","","",""
"100457-720","100457-1","763","Метро «Верхние Лихоборы» - Пос. Северный","","3","","","","","",""
"100457-568","100457-1","293","Остафьевская улица - МЦД Бутово","","3","","","","","",""
"100457-235","100457-1","232","МЦД Новогиреево - Метро «Выхино»","","3","","","","","",""
"100457-290","100457-1","817","Метро «Планерная» - Метро «Планерная»","","3","","","","","",""
"100457-287","100457-1","113","Метро «Ломоносовский проспект» - Метро «Профсоюзная»","","3","","","","","",""
"100457-347","100457-1","826","Метро «Орехово» - Платформа Бирюлёво-Пассажирская","","3","","","","","",""
"100457-248","100457-1","60","Метро «Щукинская» - МФЦ Хорошёво-Мнёвники","","3","","","","","",""
"100457-768","100457-1","34","Сиреневый бульвар - Метро «Преображенская площадь»","","3","","","","","",""
"100457-755","100457-1","97","Сиреневый бульвар - Метро «Измайловская»","","3","","","","","",""
"100457-442","100457-1","171","Камчатская улица - Электрозаводский мост","","3","","","","","",""
"100457-812","100457-1","627","Камчатская улица - Мясокомбинат","","3","","","","","",""
"100457-662","100457-1","760","Метро «Щёлковская» - 2-й Московский крематорий","","3","","","","","",""
"100457-419","100457-1","628","Ясный проезд - Ясный проезд","","3","","","","","",""
"100457-396","100457-1","246","23-й кв. Новых Черемушек - Метро «Калужская»","","3","","","","","",""
"100457-592","100457-1","154","МЦД Грачёвская - Вднх (главный вход)","","3","","","","","",""
"100457-958","100457-1","З-28","МЦД Зеленоград-Крюково - МЦД Зеленоград-Крюково","","3","","","","","",""
"100457-983","100457-1","З-32","Северная - 17-й мкр","","3","","","","","",""
"100457-1286","100457-1","З-25","Северная - Северная","","3","","","","","",""
"100457-616","100457-1","194","Коровино - Метро «Петровско-Разумовская»","","3","","","","","",""
"100457-135","100457-1","110","Метро «Сокол» - Метро «Динамо»","","3","","","","","",""
"100457-367","100457-1","185","Платформа Лось - Платформа Лось","","3","","","","","",""
"100457-944","100457-1","78","Дворец спорта «Сокольники» - Дворец спорта «Сокольники»","","3","","","","","",""
"100457-368","100457-1","50","Платформа Лось - Медведково Арена","","3","","","","","",""
"100457-826","100457-1","664","Южное Измайлово - Метро «Измайловская»","","3","","","","","",""
"100457-808","100457-1","864","Метро «Алма-Атинская» - Метро «Алма-Атинская»","","3","","","","","",""
"100457-1618","100457-1","677к","МЦД Лианозово - Метро «Окружная»","","3","","","","","",""
"100457-1722","100457-1","т29","Метро «Владыкино» - Метро «Владыкино»","","3","","","","","",""
