"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order","continuous_pickup","continuous_drop_off"
"100457-3261","100457-1","978","1-й микрорайон Щербинки - Метро «Ольховая»","","3","","","","","",""
"100457-3221","100457-1","720","Метро «Саларьево» - Метро «Саларьево»","","3","","","","","",""
"100457-3264","100457-1","931","2-й микрорайон Южного Бутова - Метро «Потапово»","","3","","","","","",""
"100457-3287","100457-1","405","Саратовская улица - Саратовская улица","","3","","","","","",""
"100457-3234","100457-1","е66","Дворец спорта «Сокольники» - Посёлок Восточный","","3","","","","","",""
"100457-636","100457-1","874","МЦК ЗИЛ - Улица Тюфелева Роща","","3","","","","","",""
"100457-3286","100457-1","с252","Метро «Озёрная» - Озёрная улица (Мкад)","","3","","","","","",""
"100457-3268","100457-1","145","Метро «Беляево» - Метро «Беляево»","","3","","","","","",""
"100457-3258","100457-1","с976","5-й микрорайон Тёплого Стана - Улица Островитянова, 37","","3","","","","","",""
"100457-407","100457-1","2","Курский вокзал - 3-я Владимирская улица","","0","","","","","",""
"100457-141500427","100457-61","т64","Ивановское - Метро «Выхино»","","3","","","","","",""
"100457-3301","100457-1","358","Метро «Речной вокзал» - Городок Юрма","","3","","","","","",""
"100457-3305","100457-1","934","Метро «Ломоносовский проспект» - Нагорный бульвар","","3","","","","","",""
"100457-141500426","100457-101","с797","Улица Головачёва - Братеевская пойма","","3","","","","","",""
"100457-141500445","100457-103","580","МЦД Вешняки - МЦД Вешняки","","3","","","","","",""
"100457-141500429","100457-101","619","МЦД Перово - Метро «Черкизовская»","","3","","","","","",""
"100457-3319","100457-1","325","Метро «Ломоносовский проспект» - Метро «Ломоносовский проспект»","","3","","","","","",""
"100457-141500437","100457-101","291","Метро «Сокол» - Метро «Сокол»","","3","","","","","",""
"100457-141500440","100457-101","488","Метро «Планерная» - Метро «Тушинская»","","3","","","","","",""
"100457-141500435","100457-101","862","МЦД Мещерская - МЦД Солнечная","","3","","","","","",""
"100457-141500439","100457-101","815","Улица Корнейчука - Ул. Корнейчука","","3","","","","","",""
"100457-3322","100457-1","Sk2","Метро «Филёвский парк» - ОРП Р5","","3","","","","","",""
"100457-141500140","100457-101","994","Абрамцевская ул. - Абрамцевская улица","","3","","","","","",""
"100457-141500444","100457-103","с122","Первомайское - Сосенское","","3","","","","","",""
"100457-141500434","100457-101","128","Метро «Филатов Луг» - ЖК «Андерсен»","","3","","","","","",""
"100457-141500450","100457-601","275","5-й микрорайон Солнцева - 5-й мкр. Солнцева","","3","","","","","",""
"100457-141500446","100457-103","551к","ул. Чугунные ворота - ул. Чугунные ворота","","3","","","","","",""
"100457-3321","100457-1","899","Метро «Красногвардейская» - Метро «Коломенская»","","3","","","","","",""
"100457-1881","100457-1","313","Метро «Планерная» - Метро «Волоколамская»","","3","","","","","",""
"100457-141500443","100457-103","140","Метро «Сокольники» - 6-й Лучевой просек","","3","","","","","",""
"100457-141500448","100457-101","132","Метро «Петровский парк» - Метро «Сокол»","","3","","","","","",""
"100457-141500438","100457-101","990","Метро «Улица Академика Янгеля» - Метро «Улица Академика Янгеля»","","3","","","","","",""
"100457-3318","100457-1","с675","Дворец спорта «Сокольники» - МЦК Белокаменная","","3","","","","","",""
"100457-372","100457-1","38","Черёмушки - Проезд Энтузиастов","","0","","","","","",""
"100457-3324","100457-1","Sk4","Метро «Тропарёво» - ОРП Р5","","3","","","","","",""
"100457-141500436","100457-101","с977","Битцевская аллея - Метро «Ясенево»","","3","","","","","",""
"100457-3323","100457-1","Sk3","МЦД Солнечная - ОРП Р5","","3","","","","","",""
"100457-327","100457-1","784","Метро «Лухмановская» - Сочинская улица","","3","","","","","",""
"100457-141500432","100457-103","с161","Солнечный городок - Лужки","","3","","","","","",""
"100457-141500414","100457-103","241","МЦД Кокошкино - МЦД Кокошкино","","3","","","","","",""
"100457-141500442","100457-101","310","Метро «Щукинская» - Метро «Щукинская»","","3","","","","","",""
"100457-1001","100457-1","172","Метро «Новые Черёмушки» - Метро «Новые Черёмушки»","","3","","","","","",""
"100457-141500460","100457-101","564","Абрамцевская ул. - Северный - 1-й микрорайон","","3","","","","","",""
"100457-3222","100457-1","296","Метро «Рассказовка» - Посёлок Переделкино","","3","","","","","",""
"100457-3012","100457-1","940","МЦД Щербинка - МЦД Щербинка","","3","","","","","",""
"100457-3259","100457-1","м57","Метро «Речной вокзал» - Осташковская улица","","3","","","","","",""
"100457-141500462","100457-601","834","Вднх (главный вход) - Ул. Красная Сосна","","3","","","","","",""
